ISBN,title,author,year,publisher,image_url,book_id,genre
0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books,http://images.amazon.com/images/P/0553586122.01.MZZZZZZZ.jpg,381,Bantam Books
0553584510,The Survivors Club,LISA GARDNER,2003,Bantam,http://images.amazon.com/images/P/0553584510.01.MZZZZZZZ.jpg,382,Bantam
0440216842,The Carousel,Belva Plain,1998,Dell,http://images.amazon.com/images/P/0440216842.01.MZZZZZZZ.jpg,383,Dell
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,384,Ballantine Books
0553285653,Grass,Sheri S. Tepper,1990,Spectra Books,http://images.amazon.com/images/P/0553285653.01.MZZZZZZZ.jpg,385,Spectra Books
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers,http://images.amazon.com/images/P/0394800133.01.MZZZZZZZ.jpg,386,Random House Books for Young Readers
0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner,http://images.amazon.com/images/P/0684801469.01.MZZZZZZZ.jpg,387,Scribner
0140253602,Felicia's Journey,William Trevor,1996,Penguin Books,http://images.amazon.com/images/P/0140253602.01.MZZZZZZZ.jpg,388,Penguin Books
0671789422,Possessing the Secret of Joy,Alice Walker,1993,Pocket,http://images.amazon.com/images/P/0671789422.01.MZZZZZZZ.jpg,389,Pocket
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books,http://images.amazon.com/images/P/014016930X.01.MZZZZZZZ.jpg,390,Penguin Books
0140077022,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,http://images.amazon.com/images/P/0140077022.01.MZZZZZZZ.jpg,391,Penguin Books
0679732764,Invisible Man,Ralph Ellison,1995,Vintage Books USA,http://images.amazon.com/images/P/0679732764.01.MZZZZZZZ.jpg,392,Vintage Books USA
0553273604,Of Love and Shadows,Isabel Allende,1988,Bantam Books,http://images.amazon.com/images/P/0553273604.01.MZZZZZZZ.jpg,393,Bantam Books
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg,394,Bantam Books
0060256672,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,HarperCollins,http://images.amazon.com/images/P/0060256672.01.MZZZZZZZ.jpg,395,HarperCollins
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,http://images.amazon.com/images/P/039592720X.01.MZZZZZZZ.jpg,396,Houghton Mifflin Co
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,397,Perennial
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,398,Washington Square Press
0553268449,JITTERBUG PERFUME,TOM ROBBINS,1985,Bantam,http://images.amazon.com/images/P/0553268449.01.MZZZZZZZ.jpg,399,Bantam
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books,http://images.amazon.com/images/P/038001503X.01.MZZZZZZZ.jpg,400,Avon Books
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,http://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg,401,Dell
0316777730,Naked,David Sedaris,1998,Back Bay Books,http://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg,402,Back Bay Books
0877733759,Writing Down the Bones,NATALIE GOLDBERG,1986,Shambhala,http://images.amazon.com/images/P/0877733759.01.MZZZZZZZ.jpg,403,Shambhala
0805019367,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,1994,Henry Holt & Company,http://images.amazon.com/images/P/0805019367.01.MZZZZZZZ.jpg,404,Henry Holt & Company
0140070206,Ironweed,William J. Kennedy,1989,Penguin Books,http://images.amazon.com/images/P/0140070206.01.MZZZZZZZ.jpg,405,Penguin Books
0140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA,http://images.amazon.com/images/P/0140042393.01.MZZZZZZZ.jpg,406,Penguin USA
0671726889,CUCKOO'S EGG,Clifford Stoll,1990,Pocket,http://images.amazon.com/images/P/0671726889.01.MZZZZZZZ.jpg,407,Pocket
0446601241,Kiss the Girls,James Patterson,1995,Warner Books,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,408,Warner Books
0451124340,Different Seasons,Stephen King,1983,Penguin Putnam~mass,http://images.amazon.com/images/P/0451124340.01.MZZZZZZZ.jpg,409,Penguin Putnam~mass
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,410,Ballantine Books
0446604801,Jack & Jill (Alex Cross Novels),James Patterson,1997,Warner Books,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg,411,Warner Books
0345422392,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,2001,Ballantine Books,http://images.amazon.com/images/P/0345422392.01.MZZZZZZZ.jpg,412,Ballantine Books
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,http://images.amazon.com/images/P/0679734775.01.MZZZZZZZ.jpg,413,Vintage
0425124819,Black Rainbow,Barbara Michaels,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425124819.01.MZZZZZZZ.jpg,414,Berkley Publishing Group
0345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,1997,Ballantine Books,http://images.amazon.com/images/P/0345409469.01.MZZZZZZZ.jpg,415,Ballantine Books
0373250177,On The Verge (Red Dress Ink (Paperback)),Ariella Papa,2002,Red Dress Ink,http://images.amazon.com/images/P/0373250177.01.MZZZZZZZ.jpg,416,Red Dress Ink
0141001771,Welcome to My Planet: Where English Is Sometimes Spoken,Shannon Olson,2001,Penguin Books,http://images.amazon.com/images/P/0141001771.01.MZZZZZZZ.jpg,417,Penguin Books
0451523369,"Frankenstein Or, the Modern Prometheus",Mary Wollstonecraft Shelley,1994,Signet Book,http://images.amazon.com/images/P/0451523369.01.MZZZZZZZ.jpg,418,Signet Book
0786884622,World of Pies : A Novel,Karen Stolz,2001,Hyperion,http://images.amazon.com/images/P/0786884622.01.MZZZZZZZ.jpg,419,Hyperion
0449005569,Love: A User's Guide,CLARE NAYLOR,1999,Ballantine Books,http://images.amazon.com/images/P/0449005569.01.MZZZZZZZ.jpg,420,Ballantine Books
0671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV,http://images.amazon.com/images/P/0671027344.01.MZZZZZZZ.jpg,421,MTV
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins,http://images.amazon.com/images/P/006019491X.01.MZZZZZZZ.jpg,422,HarperCollins
0375420673,The Bridegroom: Stories (Great Reads),Ha Jin,2000,Pantheon Books,http://images.amazon.com/images/P/0375420673.01.MZZZZZZZ.jpg,423,Pantheon Books
0066211611,Portrait in Sepia,Isabel Allende,2001,HarperCollins Publishers,http://images.amazon.com/images/P/0066211611.01.MZZZZZZZ.jpg,424,HarperCollins Publishers
0380789035,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,425,HarperTorch
0345358791,2061: Odyssey Three,Arthur C. Clarke,1991,Del Rey Books,http://images.amazon.com/images/P/0345358791.01.MZZZZZZZ.jpg,426,Del Rey Books
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial,http://images.amazon.com/images/P/0060964049.01.MZZZZZZZ.jpg,427,Perennial
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,428,Dell Publishing Company
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,429,Ballantine Books
0743457943,Trading Places,Fern Michaels,2003,Pocket Star,http://images.amazon.com/images/P/0743457943.01.MZZZZZZZ.jpg,430,Pocket Star
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg,431,Silhouette
0380789019,Neverwhere,Neil Gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,432,Avon
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,http://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg,433,Avon
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,http://images.amazon.com/images/P/067101420X.01.MZZZZZZZ.jpg,434,Pocket
0679457313,The God of Small Things,Arundhati Roy,1997,Random House Inc,http://images.amazon.com/images/P/0679457313.01.MZZZZZZZ.jpg,435,Random House Inc
0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam,http://images.amazon.com/images/P/0553571656.01.MZZZZZZZ.jpg,436,Bantam
0312169787,The Red Tent : A Novel,Anita Diamant,1997,St. Martin's Press,http://images.amazon.com/images/P/0312169787.01.MZZZZZZZ.jpg,437,St. Martin's Press
0786866276,Mother of Pearl,Melinda Haynes,1999,Hyperion,http://images.amazon.com/images/P/0786866276.01.MZZZZZZZ.jpg,438,Hyperion
0140620338,Picture of Dorian Gray,Oscar Wilde,0,Penguin Putnam~mass,http://images.amazon.com/images/P/0140620338.01.MZZZZZZZ.jpg,439,Penguin Putnam~mass
0679745653,Breakfast at Tiffany's: And Three Stories (First Vintage International),Truman Capote,1993,Vintage Books USA,http://images.amazon.com/images/P/0679745653.01.MZZZZZZZ.jpg,440,Vintage Books USA
000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk,http://images.amazon.com/images/P/000649840X.01.MZZZZZZZ.jpg,441,Harpercollins Uk
0099771519,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square,http://images.amazon.com/images/P/0099771519.01.MZZZZZZZ.jpg,442,Trafalgar Square
067102535X,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket,http://images.amazon.com/images/P/067102535X.01.MZZZZZZZ.jpg,443,Pocket
0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,444,Anchor
0385498721,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor,http://images.amazon.com/images/P/0385498721.01.MZZZZZZZ.jpg,445,Anchor
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,446,Perennial
0140099832,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm),http://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg,447,Penguin/Puffin Mass Market (Mm)
0385314744,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,Delacorte Press,http://images.amazon.com/images/P/0385314744.01.MZZZZZZZ.jpg,448,Delacorte Press
0894803700,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,Workman Publishing,http://images.amazon.com/images/P/0894803700.01.MZZZZZZZ.jpg,449,Workman Publishing
0590457225,Dealing With Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1992,Scholastic,http://images.amazon.com/images/P/0590457225.01.MZZZZZZZ.jpg,450,Scholastic
0316929190,All Too Human : A Political Education,George Stephanopoulos,1999,"Little, Brown",http://images.amazon.com/images/P/0316929190.01.MZZZZZZZ.jpg,451,"Little, Brown"
0439404371,The Thief Lord,Cornelia Funke,2002,Scholastic,http://images.amazon.com/images/P/0439404371.01.MZZZZZZZ.jpg,452,Scholastic
0345307674,Return of the Jedi (Star Wars),James Kahn,1983,Del Rey Books,http://images.amazon.com/images/P/0345307674.01.MZZZZZZZ.jpg,453,Del Rey Books
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg,454,Riverhead Books
0380754843,Wayside School is Falling Down,Louis Sachar,1990,HarperTrophy,http://images.amazon.com/images/P/0380754843.01.MZZZZZZZ.jpg,455,HarperTrophy
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,456,Bantam
0345285549,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books,http://images.amazon.com/images/P/0345285549.01.MZZZZZZZ.jpg,457,Del Rey Books
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book,http://images.amazon.com/images/P/0451169530.01.MZZZZZZZ.jpg,458,Signet Book
067168390X,Lonesome Dove,Larry McMurtry,1988,Pocket,http://images.amazon.com/images/P/067168390X.01.MZZZZZZZ.jpg,459,Pocket
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,460,Delta
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,461,Delta
0553258001,The Cider House Rules,John Irving,1986,Bantam Books,http://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg,462,Bantam Books
0805063889,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2001,Metropolitan Books,http://images.amazon.com/images/P/0805063889.01.MZZZZZZZ.jpg,463,Metropolitan Books
0553582658,Summer Light,Luanne Rice,2002,Bantam Books,http://images.amazon.com/images/P/0553582658.01.MZZZZZZZ.jpg,464,Bantam Books
051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,Jove Books,http://images.amazon.com/images/P/051513399X.01.MZZZZZZZ.jpg,465,Jove Books
0373218400,Table For Two,Nora Roberts,2002,Silhouette,http://images.amazon.com/images/P/0373218400.01.MZZZZZZZ.jpg,466,Silhouette
0060192895,Hunting Badger,Tony Hillerman,1999,HarperCollins Publishers,http://images.amazon.com/images/P/0060192895.01.MZZZZZZZ.jpg,467,HarperCollins Publishers
0826308791,The Education of Little Tree (A Zia Book),Forrest Carter,1986,University of New Mexico Press,http://images.amazon.com/images/P/0826308791.01.MZZZZZZZ.jpg,468,University of New Mexico Press
0345435249,Darwin's Radio,Greg Bear,2000,Ballantine Books,http://images.amazon.com/images/P/0345435249.01.MZZZZZZZ.jpg,469,Ballantine Books
0441003257,Good Omens,Neil Gaiman,1996,Ace Books,http://images.amazon.com/images/P/0441003257.01.MZZZZZZZ.jpg,470,Ace Books
0451202503,The Songcatcher: A Ballad Novel,Sharyn McCrumb,2002,Signet Book,http://images.amazon.com/images/P/0451202503.01.MZZZZZZZ.jpg,471,Signet Book
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg,472,Warner Vision
0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket,http://images.amazon.com/images/P/0671028375.01.MZZZZZZZ.jpg,473,Pocket
0451181468,Praying for Sleep,Jeffery Deaver,1995,Signet Book,http://images.amazon.com/images/P/0451181468.01.MZZZZZZZ.jpg,474,Signet Book
0345384733,Red Square,Martin Cruz Smith,1993,Ballantine Books,http://images.amazon.com/images/P/0345384733.01.MZZZZZZZ.jpg,475,Ballantine Books
0671759361,Pearl in the Mist (Landry),V.C. Andrews,1994,Pocket,http://images.amazon.com/images/P/0671759361.01.MZZZZZZZ.jpg,476,Pocket
0399146008,Shock,Robin Cook,2001,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399146008.01.MZZZZZZZ.jpg,477,G. P. Putnam's Sons
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,478,Perennial
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,479,Vintage Books USA
044990928X,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,1994,Ballantine Books,http://images.amazon.com/images/P/044990928X.01.MZZZZZZZ.jpg,480,Ballantine Books
0671038184,Jewel,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,481,Washington Square Press
0060916508,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990,Perennial,http://images.amazon.com/images/P/0060916508.01.MZZZZZZZ.jpg,482,Perennial
0552996009,Notes From a Small Planet,Bill Bryson,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0552996009.01.MZZZZZZZ.jpg,483,Bantam Doubleday Dell
0142000663,The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,2002,Penguin Books,http://images.amazon.com/images/P/0142000663.01.MZZZZZZZ.jpg,484,Penguin Books
0590112899,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1998,Scholastic Point,http://images.amazon.com/images/P/0590112899.01.MZZZZZZZ.jpg,485,Scholastic Point
0590660543,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point,http://images.amazon.com/images/P/0590660543.01.MZZZZZZZ.jpg,486,Scholastic Point
0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,487,Ballantine Books
0394404289,The Prophet,Kahlil Gibran,1973,Alfred A. Knopf,http://images.amazon.com/images/P/0394404289.01.MZZZZZZZ.jpg,488,Alfred A. Knopf
038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta,http://images.amazon.com/images/P/038531258X.01.MZZZZZZZ.jpg,489,Delta
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial,http://images.amazon.com/images/P/006092988X.01.MZZZZZZZ.jpg,490,Perennial
0743225406,The Shipping News : A Novel,Annie Proulx,2001,Scribner,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg,491,Scribner
0553256696,Hiding Place,Corrie Ten Boom,1984,Bantam Books,http://images.amazon.com/images/P/0553256696.01.MZZZZZZZ.jpg,492,Bantam Books
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,493,Anchor
038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001,Delta,http://images.amazon.com/images/P/038533303X.01.MZZZZZZZ.jpg,494,Delta
0786885688,Shopgirl,Steve Martin,2001,Hyperion,http://images.amazon.com/images/P/0786885688.01.MZZZZZZZ.jpg,495,Hyperion
0671880187,Kitchen,Banana Yoshimoto,1994,Washington Square Press,http://images.amazon.com/images/P/0671880187.01.MZZZZZZZ.jpg,496,Washington Square Press
037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.MZZZZZZZ.jpg,497,Vintage Books USA
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,http://images.amazon.com/images/P/0767902521.01.MZZZZZZZ.jpg,498,Broadway Books
0553377868,The Flanders Panel,ARTURO PEREZ-REVERTE,1996,Bantam,http://images.amazon.com/images/P/0553377868.01.MZZZZZZZ.jpg,499,Bantam
0609608444,"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,2003,Crown,http://images.amazon.com/images/P/0609608444.01.MZZZZZZZ.jpg,500,Crown
1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications,http://images.amazon.com/images/P/1558744606.01.MZZZZZZZ.jpg,501,Health Communications
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,http://images.amazon.com/images/P/080410753X.01.MZZZZZZZ.jpg,502,Ivy Books
0345325818,The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey,http://images.amazon.com/images/P/0345325818.01.MZZZZZZZ.jpg,503,Del Rey
014131088X,Speak,Laurie Halse Anderson,2001,Speak,http://images.amazon.com/images/P/014131088X.01.MZZZZZZZ.jpg,504,Speak
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,505,Penguin Books
0743221990,The Stone Monkey : A Lincoln Rhyme Novel,Jeffery Deaver,2002,Simon & Schuster,http://images.amazon.com/images/P/0743221990.01.MZZZZZZZ.jpg,506,Simon & Schuster
0312983212,Saucer,Stephen Coonts,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983212.01.MZZZZZZZ.jpg,507,St. Martin's Paperbacks
0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday,http://images.amazon.com/images/P/0385508417.01.MZZZZZZZ.jpg,508,Doubleday
0385510438,The Last Juror,John Grisham,2004,Doubleday,http://images.amazon.com/images/P/0385510438.01.MZZZZZZZ.jpg,509,Doubleday
0380723638,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon Books,http://images.amazon.com/images/P/0380723638.01.MZZZZZZZ.jpg,510,Avon Books
0385324057,Summer Sisters,Judy Blume,1998,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,511,Delacorte Press
0425185710,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425185710.01.MZZZZZZZ.jpg,512,Berkley Publishing Group
031298250X,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/031298250X.01.MZZZZZZZ.jpg,513,St. Martin's Paperbacks
006109594X,Nimitz Class,Patrick Robinson,1998,HarperTorch,http://images.amazon.com/images/P/006109594X.01.MZZZZZZZ.jpg,514,HarperTorch
0671527215,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket,http://images.amazon.com/images/P/0671527215.01.MZZZZZZZ.jpg,515,Pocket
0553377876,Half Asleep in Frog Pajamas,Tom Robbins,1995,Bantam,http://images.amazon.com/images/P/0553377876.01.MZZZZZZZ.jpg,516,Bantam
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,517,Viking Books
0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,518,Perennial
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,519,Pocket Star
0679772677,A Civil Action,JONATHAN HARR,1996,Vintage,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg,520,Vintage
0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983824.01.MZZZZZZZ.jpg,521,St. Martin's Paperbacks
0449149676,On Mystic Lake,Kristin Hannah,2000,Ballantine Books,http://images.amazon.com/images/P/0449149676.01.MZZZZZZZ.jpg,522,Ballantine Books
0449006344,Angel Falls,KRISTIN HANNAH,2001,Ballantine Books,http://images.amazon.com/images/P/0449006344.01.MZZZZZZZ.jpg,523,Ballantine Books
0451191153,The Fountainhead,Ayn Rand,1996,New American Library,http://images.amazon.com/images/P/0451191153.01.MZZZZZZZ.jpg,524,New American Library
0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440224624.01.MZZZZZZZ.jpg,525,Dell Publishing Company
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,526,Washington Square Press
0440214424,Out of Sight,Elmore Leonard,1998,Dell,http://images.amazon.com/images/P/0440214424.01.MZZZZZZZ.jpg,527,Dell
0451187903,Sense and Sensibility,Jane Austen,1995,Signet Book,http://images.amazon.com/images/P/0451187903.01.MZZZZZZZ.jpg,528,Signet Book
0385491050,Surfacing,MARGARET ATWOOD,1998,Anchor,http://images.amazon.com/images/P/0385491050.01.MZZZZZZZ.jpg,529,Anchor
0671036505,The Vineyard,Barbara Delinsky,2001,Pocket Books,http://images.amazon.com/images/P/0671036505.01.MZZZZZZZ.jpg,530,Pocket Books
0394758285,The Big Sleep,Raymond Chandler,1992,Vintage Books USA,http://images.amazon.com/images/P/0394758285.01.MZZZZZZZ.jpg,531,Vintage Books USA
0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,532,Pocket
0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,http://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg,533,Ballantine Books
0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,534,Vintage Books
0156006529,Where or When  : A Novel,Anita Shreve,1999,Harvest Books,http://images.amazon.com/images/P/0156006529.01.MZZZZZZZ.jpg,535,Harvest Books
0446673544,Sex & the City,Candace Bushnell,1997,Warner Books,http://images.amazon.com/images/P/0446673544.01.MZZZZZZZ.jpg,536,Warner Books
0312243022,The Hours : A Novel,Michael Cunningham,2000,Picador,http://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg,537,Picador
0316789844,Resistance : A Novel,Anita Shreve,1997,Back Bay Books,http://images.amazon.com/images/P/0316789844.01.MZZZZZZZ.jpg,538,Back Bay Books
0385490445,Alias Grace : A Novel,Margaret Atwood,1997,Anchor,http://images.amazon.com/images/P/0385490445.01.MZZZZZZZ.jpg,539,Anchor
0345316770,Almost Paradise,Susan Isaacs,1990,Ballantine Books,http://images.amazon.com/images/P/0345316770.01.MZZZZZZZ.jpg,540,Ballantine Books
0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,541,Vintage
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,542,McGraw-Hill
0385480016,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,1995,Anchor,http://images.amazon.com/images/P/0385480016.01.MZZZZZZZ.jpg,543,Anchor
0061098361,Circle of Three: A Novel,Patricia Gaffney,2001,HarperTorch,http://images.amazon.com/images/P/0061098361.01.MZZZZZZZ.jpg,544,HarperTorch
0061093092,Lily White,Susan Isaacs,1997,HarperTorch,http://images.amazon.com/images/P/0061093092.01.MZZZZZZZ.jpg,545,HarperTorch
0446611239,The Cabinet of Curiosities,Douglas Preston,2003,Warner Books,http://images.amazon.com/images/P/0446611239.01.MZZZZZZZ.jpg,546,Warner Books
0425189414,Midnight Runner,Jack Higgins,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189414.01.MZZZZZZZ.jpg,547,Berkley Publishing Group
0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,548,Back Bay Books
0486280616,Adventures of Huckleberry Finn (Dover Thrift Editions),Mark Twain,1994,Dover Publications,http://images.amazon.com/images/P/0486280616.01.MZZZZZZZ.jpg,549,Dover Publications
